개체1,액션1,감정1,"URL(공포,놀람,분노,슬픔,중립,행복,혐오)",,,,,,,,
"쓰레기,개새끼","못하,나쁘",,https://jjalbang.today/files/jjalbox/2015/03/89_55169c2380010_2681.jpg,,,,,,,,
"먼저,퇴근",,,https://jjalbang.today/files/jjalbox/2018/08/20180827_5b83554f26749.jpg,,,,,,,,
미래,기다리,,https://jjalbang.today/files/jjalbox/2015/03/92_55169c1e07498_2691.jpg,,,,,,,,
"미친놈,돌아이",대단,,https://jjalbang.today/files/jjalbox/2015/03/87_55169c209b9a1_2684.jpg,,,,,,,,
"노잼,ㅡㅡ,재미없,ㄵ,ㄴㅈ",,,https://jjalbang.today/files/jjalbox/2015/04/20150402_551d407507d85.png,,,,,,,,
"레예스,정색","웃지마,닥치",,https://bunny.jjalbot.com/2018/12/aBtIAhMOaY/zzal.jpg,,,,,,,,
"강아지,청순,동물",귀엽,,https://bunny.jjalbot.com/2018/12/WNEa19cBat/zzal.jpg,,,,,,,,
"정신줄,입,침,멘붕",,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f0221306_1871.jpg,,,,,,,,
"고양이,냥,냥이,먹방,과일",먹,,https://bunny.jjalbot.com/2022/01/rlbvY5JTGQ.mp4,,,,,,,,
"고양이,냥,냥이,길냥이,얼차려,참교육",,,https://bunny.jjalbot.com/2021/02/99_QN1HAse/jm7zaYLwG.jpeg,,,,,,,,
"고양이,냥,냥이,길냥이,잠,꿀",귀엽,,https://bunny.jjalbot.com/2018/12/l9yg4ohmBn/zzal.mp4,,,,,,,,
"고양이,냥,냥이,길냥이,업어치기,내동댕이,싸움",,,https://bunny.jjalbot.com/2018/12/VTW3FWH2L/zzal.mp4,,,,,,,,
"고양이,냥,냥이,키보드,타자,컴퓨터,분노",,,https://bunny.jjalbot.com/2018/12/Skgv8TIC/20160901_57c790147b051.mp4,,,,,,,,
"고양이,냥,냥이,교통사고,자해,공갈단",,,https://bunny.jjalbot.com/2018/12/7rB35W2U8/zzal.mp4,,,,,,,,
"고양이,냥,냥이,청소,걸레",깔끔,,https://bunny.jjalbot.com/2018/12/FXG2cf_HYI/zzal.mp4,,,,,,,,
"고양이,냥,냥이,비닐봉지,봉지,봉투",,,https://bunny.jjalbot.com/2022/01/ywJy4Ajwr.png,,,,,,,,
"민트,초코,타조,민초",,,https://bunny.jjalbot.com/2022/01/P5VI3dGAPj.mp4,,,,,,,,
"고양이,냥,냥이,세탁기",귀엽,,https://bunny.jjalbot.com/2022/01/3EzAn4LxJf.mp4,,,,,,,,
"강아지,개,강쥐,운전,드라이버",,,https://bunny.jjalbot.com/2021/12/xFPbF9kha/xFPbF9kha.jpeg,,,,,,,,
"고양이,냥,냥이","놀라,헉",,https://bunny.jjalbot.com/2018/12/oNYuqU1L7/zzal.jpg,,,,,,,,
"무릎,추진력,만화","얻,위하",,https://bunny.jjalbot.com/2018/12/Hkxww6NGeN/20180827_5b8354ef4fa8f.jpg,,,,,,,,
"동물,아기,애기,북극곰",,,https://bunny.jjalbot.com/2018/12/wTzEytCmu/zzal.mp4,,,,,,,,
"북극곰,춤,댄스,안,안대",,,https://bunny.jjalbot.com/2018/12/ySGTmpK6s/zzal.jpg,,,,,,,,
"강아지,강쥐,개,애교,동물",,,https://bunny.jjalbot.com/2018/12/BWkt4Xqlp/zzal.mp4,,,,,,,,
"강아지,강쥐,개,휴게소","일어나,졸리,졸립",,https://bunny.jjalbot.com/2018/12/ZGn2zXVjEB/zzal.mp4,,,,,,,,
"강아지,강쥐,개,행복","웃,좋",행복,https://bunny.jjalbot.com/2018/12/iI5Lluxpvk/zzal.jpg,,,,,,,,
"팽귄,펭귄,아기,애기","귀엽,달리,가",,https://bunny.jjalbot.com/2018/12/Azwag2hrW/zzal.mp4,,,,,,,,
"물개,동물",놀라,놀람,https://bunny.jjalbot.com/2018/12/YbCjJhzA0/zzal.jpg,,,,,,,,
"팬더,펜터,판다",침착,,https://bunny.jjalbot.com/2018/12/zT6vj2LNa/zzal.jpg,,,,,,,,
"고양이,냥이,냥,발바닥,심장,폭행,심쿵,젤리",귀엽,,https://bunny.jjalbot.com/2018/12/993yBnbxG3/zzal.jpg,,,,,,,,
"강아지,강쥐,개,요가",따라하,,https://bunny.jjalbot.com/2018/12/YQ47wHSVD/zzal.mp4,,,,,,,,
"미어캣,아기,애기,동물",쓰다듬,,https://bunny.jjalbot.com/2018/12/3InXAVjrVs/zzal.mp4,,,,,,,,
"돼지,점프,아기,애기",귀엽,,https://bunny.jjalbot.com/2018/12/JksUPgQdg5/zzal.mp4,,,,,,,,
"돼지,티팬티,동물,요염,19,19금","야하,씰룩씰룩",,https://bunny.jjalbot.com/2018/12/ZIlABwyQr/zzal.mp4,,,,,,,,
"만화,당황","황당,뭐야",,https://bunny.jjalbot.com/2016/10/BJSovT80/20150411_5529266f86a81.jpg,,,,,,,,
"말,폭력,명존쎄","듣,맞,때리",,https://bunny.jjalbot.com/2016/10/BkXyr_TLA/91_55169ed814f2c_2586.jpg,,,,,,,,
"귀여워,만화,아저씨",발그레,,https://bunny.jjalbot.com/2021/12/5ZB829Ugd/5ZB829Ugd.png,,,,,,,,
"짱구,짱아,당황,만화",황당,,https://bunny.jjalbot.com/2018/12/t1Xe3WS95p/zzal.jpg,,,,,,,,
"크리스마스,저주,남친,여친,애인,솔로,애인,모쏠",,,https://bunny.jjalbot.com/2018/12/rJdU2T4MxV/20171225_5a3fcb75acb65.png,,,,,,,,
그것,"실제로,일어나",,https://bunny.jjalbot.com/2016/10/Hy-1eKT80/87_55169d721cb36_1255.jpg,,,,,,,,
"심슨,얼간이,쓰레기",놀리,,https://bunny.jjalbot.com/2018/12/ihnOcdqkR/zzal.png,,,,,,,,
"북극곰,만화,동물","존나,좋",행복,https://bunny.jjalbot.com/2016/10/S1grlF6IA/86_55169d137a55a_1141.jpg,,,,,,,,
"톰과 제리,위풍당당,행복,톰,제리,만화,애니,동물",걷,행복,https://bunny.jjalbot.com/2018/12/SCej4JUaT/zzal.mp4,,,,,,,,
"나,거지,어디,눈물,만화,멘붕,멘탈붕괴","여기,어디",,https://bunny.jjalbot.com/2018/12/HkT2pEfx4/20171220_5a3a075eccf80.jpg,,,,,,,,
"남자,눈물,귀귀,만화,슬픔","흑흑,흐흑,주르륵",,https://bunny.jjalbot.com/2021/12/_GATrNFYk/_GATrNFYk.jpeg,,,,,,,,
"사랑해,슬픔,만화,귀귀","슬프,주실,어디,안,계시",,https://bunny.jjalbot.com/2021/12/1dsAXqWl7/1dsAXqWl7.jpeg,,,,,,,,
"고양이,냥이,냥,손놀림,펀치,동물",귀엽,,https://bunny.jjalbot.com/2018/12/r1ZCyvpLR/20160811_57abb95f34ed3.mp4,,,,,,,,
"고양이,냥이,냥,동물","쓰,쓰다듬",,https://bunny.jjalbot.com/2018/12/5zXu42hDA/zzal.mp4,,,,,,,,
"고양이,냥이,냥,귀여워,동물","살찌,나,귀엽",,https://bunny.jjalbot.com/2020/07/gLlr_yesS/zzal.jpeg,,,,,,,,
"술취,피곤,동물","잠자,지루,잠들",,https://bunny.jjalbot.com/2016/10/rybuE_aLA/88_55169dad9e0d2_2563.jpg,,,,,,,,
"먹방,고양이,냥이,냥,귀여워,동물",귀엽,,https://bunny.jjalbot.com/2018/12/s8Bokh29-s/zzal.mp4,,,,,,,,
"고양이,냥이,냥,동물,아갱이,아깽이,아기,애기,장난,귀여워",귀엽,,https://bunny.jjalbot.com/2018/12/Bk6Wwp8R/20160714_57876f962b0f8.mp4,,,,,,,,
"고양이,냥,냥이,키보드,타자,컴퓨터,동물",귀엽,,https://bunny.jjalbot.com/2018/12/BkgUSPp8A/20150902_55e6ab87d273a.mp4,,,,,,,,
"고양이,냥이,냥,집사,동물","쓰,쓰다듬",,https://bunny.jjalbot.com/2018/12/BkP2x0VGl4/20161011_57fc9910c9063.mp4,,,,,,,,
"고양이,냥이,냥,발바닥,심장,폭행,심쿵,젤리,기지개,동물",,,https://bunny.jjalbot.com/2018/12/9_YBcMjhKc/zzal.mp4,,,,,,,,
"고양이,냥이,냥,치료,행복,박스",,,https://bunny.jjalbot.com/2018/12/LLUnhLY3Q/zzal.mp4,,,,,,,,
"고양이,냥이,냥,펀치,싸움",,,https://bunny.jjalbot.com/2018/12/smS8DBCIq/zzal.mp4,,,,,,,,
"고양이,냥이,냥","잠들,잠자,메롱,귀엽",,https://bunny.jjalbot.com/2021/12/-i6lUNKOX/-i6lUNKOX.gif,,,,,,,,
"고양이,냥이,냥,무표정",...,중립,https://bunny.jjalbot.com/2016/10/BJimdTU0/88_55169dab892e3_2636.jpg,,,,,,,,
"고양이,냥이,냥,의심,동물",수상,,https://bunny.jjalbot.com/2016/10/rklE1t6IC/87_55169d58acbe9_1296.jpg,,,,,,,,
"고양이,냥이,냥,동물,먹방,심장폭행,증거,인멸",귀엽,,https://bunny.jjalbot.com/2018/12/Yjd6122ci/zzal.mp4,,,,,,,,
"강아지,개,강쥐","덥,시원",,https://bunny.jjalbot.com/2018/12/nt1bhCKbrY/zzal.mp4,,,,,,,,
"심슨,아가리,물어","조용,닥치",,https://bunny.jjalbot.com/2018/12/0uQqnQzC5/zzal.jpg,,,,,,,,
"내,만화","졌다,졌어",,https://bunny.jjalbot.com/2018/12/ZH8JQR8R4/zzal.jpg,,,,,,,,
"심슨,장난,대응,복수",,,https://bunny.jjalbot.com/2018/12/ljTfZMN0f7/zzal.mp4,,,,,,,,
"에비츄,좌절,절망",히잉,,https://bunny.jjalbot.com/2018/12/EpOtneNhdg/zzal.png,,,,,,,,
"오징어,징징이,말,라고",놀리,,https://bunny.jjalbot.com/2016/10/HJ-T2Ia80/20160818_57b53ff249611.jpg,,,,,,,,
"만화,^^","활짝,웃",,https://bunny.jjalbot.com/2020/07/TeLK3UWhN/zzal.jpg,,,,,,,,
"좌절,생일,파티,생파,솔로,쏠로",울,슬픔,https://bunny.jjalbot.com/2016/10/HkW2fKT8R/104_5516a41a50433_958.jpg,,,,,,,,
"냥,고양이,냥이,양아치","뺏,먹",,https://bunny.jjalbot.com/2018/12/p8vEDPLZjE/zzal.mp4,,,,,,,,
"민폐,헬스장",놀아줘,,https://bunny.jjalbot.com/2021/03/dxjMdqyiTX/gRC_BvrOx.mp4,,,,,,,,
"물,고양이,냥이,냥","마시,귀엽",,https://bunny.jjalbot.com/2020/08/l4WiaYS3Ac/8qDYJhqBe.mp4,,,,,,,,
"만화,변명",하지마,,https://bunny.jjalbot.com/2016/10/HJW4KvTL0/20150525_5562dae148a90.jpg,,,,,,,,
"에비츄,만화,애니","살금살금,몰래,조심조심,조심",,https://bunny.jjalbot.com/2018/12/8JXpuGKfak/zzal.jpg,,,,,,,,
"개,강아지,강쥐,화남,어쩌라고","황당,빡침",분노,https://bunny.jjalbot.com/2018/12/BkBkCp4fx4/20171212_5a2f8d687a5b3.mp4,,,,,,,,
"고양이,냥,냥이,구걸,부탁",살려주,,https://bunny.jjalbot.com/2018/12/pnXcWGVC1/zzal.jpg,,,,,,,,
"고양이,냥,냥이,소환",부르,,https://bunny.jjalbot.com/2018/12/qHybGBFvq/zzal.jpg,,,,,,,,
"만화,느낌","좋,있",,https://bunny.jjalbot.com/2018/12/SkgI_pNGgE/20180604_5b15114a67512.jpg,,,,,,,,
"경찰,포돌이,신고,캐릭터,철컹,수갑,범죄","철컹,잡,요놈,잡혀가",,https://bunny.jjalbot.com/2016/10/ryW0dd6UA/99_55169fd620bc4_2045.jpg,,,,,,,,
"지름신,지름,쇼핑,집착",가지,,https://bunny.jjalbot.com/2018/12/rkl_UT4zlE/20180923_5ba78b038e414.jpeg,,,,,,,,
"만화,원피스,거절",싫,,https://bunny.jjalbot.com/2018/12/BygWjpVGg4/20180105_5a4eef9ea3fb4.png,,,,,,,,
"좌절,손,얼굴",가리,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f03f2905_1868.jpg,,,,,,,,
"학폭,학교,폭력","멈추,그만",,https://bunny.jjalbot.com/2021/12/9v7M1c52h/9v7M1c52h.jpeg,,,,,,,,
"라면,현기증",끓이,,https://bunny.jjalbot.com/2016/10/S1ZGrI68C/20160910_57d3c457e1802.jpg,,,,,,,,
"명존쎄,명치,만화,조석",때리,,https://bunny.jjalbot.com/2016/10/ryENaIaLR/20160818_57b51c7a78625.jpg,,,,,,,,
,"야하,좋",,https://bunny.jjalbot.com/2018/12/ryX9jTNMgE/20180101_5a49b6b09472b.jpg,,,,,,,,
"지랄,염병,만화",자빠지,,https://bunny.jjalbot.com/2016/10/SkvmtaUA/85_55169cd88edd1_999.jpg,,,,,,,,
"칭찬,만화","잘,하",,https://bunny.jjalbot.com/2016/10/SkW-TwpL0/20150402_551d41733b66b.jpg,,,,,,,,
"짱구,만화,여름,물놀이,발기","발그레,야한",,https://bunny.jjalbot.com/2018/12/SJVJPpEfx4/20180905_5b8eb5b60cf0a.mp4,,,,,,,,
"최악,만화,이말년",,,https://bunny.jjalbot.com/2016/10/B1GVktTIC/88_55169dc8808d9_1421.jpg,,,,,,,,
도라에몽,"사,초롱초롱,해줘",,https://bunny.jjalbot.com/2018/12/g8uytXQci/zzal.png,,,,,,,,
괴짜가족,달리,,https://bunny.jjalbot.com/2018/12/uqT8uqAdf/zzal.mp4,,,,,,,,
대단,대단해,,https://bunny.jjalbot.com/2018/12/ryH8ua4zxE/20180603_5b1326d080568.png,,,,,,,,
"피곤,짱구,귀차니즘,캐릭터","귀찮,심심,빈둥",,https://bunny.jjalbot.com/2021/12/WHAzvlomC/WHAzvlomC.jpeg,,,,,,,,
"햄스터,동물","귀엽,달리",,https://bunny.jjalbot.com/2022/01/Ygw9GBioA.mp4,,,,,,,,
"햄스터,동물","귀엽,달리",,https://bunny.jjalbot.com/2022/01/o1yYY6gM3r.mp4,,,,,,,,
"말,승마",,,https://bunny.jjalbot.com/2022/01/cbo76DMFQ.mp4,,,,,,,,
"점심,짱구,캐릭터",,,https://bunny.jjalbot.com/2022/01/KDYu4AzJo.jpeg,,,,,,,,
"오열,눈물,캐릭터",슬프,,https://jjalbang.today/files/jjalbox/2015/03/93_55169f5c76414_2395.gif,,,,,,,,
젠장,,분노,https://bunny.jjalbot.com/2016/10/HyGqxuTIA/89_55169b9671422_2779.jpg,,,,,,,,
"좌절,남자",,,https://jjalbang.today/files/jjalbox/2015/03/92_55169f12983ee_1844.jpg,,,,,,,,
"거품,정신줄,멘탈","정신혼미,정신 혼미",,https://jjalbang.today/files/jjalbox/2015/03/92_55169f1da5d3f_1822.jpg,,,,,,,,
"여자,울음,눈물,콧구멍,울분,코구멍",울,"슬픔,분노",https://jjalbang.today/files/jjalbox/2015/03/92_5516a33997dea_2658.jpg,,,,,,,,
쪽,"뒹굴,쪽팔리,부끄럽",,https://jjalbang.today/files/jjalbox/2015/04/20150406_552266cf94981.gif,,,,,,,,
충격,"정신없,깜,놀라","공포,놀람",https://jjalbang.today/files/jjalbox/2015/04/20150406_55226843650a3.jpg,,,,,,,,
"만화,충격","깜,놀라","공포,놀람",https://jjalbang.today/files/jjalbox/2015/04/20150406_552268c00bf41.jpg,,,,,,,,
"항암제,암,무개념","황당,미치",,https://jjalbang.today/files/jjalbox/2015/06/20150608_55756f4c26140.jpg,,,,,,,,
"노답,답","답답,없",,https://jjalbang.today/files/jjalbox/2015/06/20150615_557da954ed941.png,,,,,,,,
"노잼,지루,축구","재미없,지루,의미없",,https://jjalbang.today/files/jjalbox/2015/11/20151122_5651be1ccbb2b.gif,,,,,,,,
"짜증,감독,축구,화,화난",,분노,https://jjalbang.today/files/jjalbox/2016/05/20160504_57294016b5bf4.gif,,,,,,,,
"엄지,축구,메시,따봉",,중립,https://jjalbang.today/files/jjalbox/2016/06/20160606_575555ecbdd76.jpg,,,,,,,,
"뻑큐,박규,욕,ㅗ",,,https://jjalbang.today/files/jjalbox/2016/07/20160727_5798816c3ffe8.gif,,,,,,,,
"환호,남자",,행복,https://jjalbang.today/files/jjalbox/2015/04/20150418_5532177d73df6.png,,,,,,,,
"생일,파티",,행복,https://jjalbang.today/files/jjalbox/2015/03/86_55169d1619808_1135.gif,,,,,,,,
"군대,군인,과자,몽쉘,행복",,행복,https://jjalbang.today/files/jjalbox/2020/09/20200916_5f620b5534756.jpg,,,,,,,,
"김정은,분노",,분노,https://jjalbang.today/files/jjalbox/2016/10/20161028_5812de329a445.gif,,,,,,,,
"식은땀,공포",놀라,놀람,https://jjalbang.today/files/jjalbox/2018/01/20180118_5a600b53d55fc.gif,,,,,,,,
"탈락,혐오",,혐오,https://jjalbang.today/files/jjalbox/2016/08/20160817_57b4685c1b569.jpg,,,,,,,,
"중립,기어",,,https://jjalbang.today/files/jjalbox/2021/06/20210605_60bb4d95d7853.png,,,,,,,,
"김정은,박수",,,https://jjalbang.today/files/jjalbox/2016/11/20161111_58248f5bbdfba.gif,,,,,,,,
개판,,,https://jjalbang.today/files/jjalbox/2016/08/20160820_57b8204d025fc.jpg,,,,,,,,
"야구,낙시",깜놀,,https://jjalbang.today/files/jjalbox/2021/12/20211227_61c961bb05b9c.gif,,,,,,,,
여자,"덥,더워",,https://jjalbang.today/files/jjalbox/2017/12/20171217_5a363765aa512.gif,,,,,,,,
"쓰레기,봉투",,,https://jjalbang.today/files/jjalbox/2015/04/20150407_5523744a67cf8.png,,,,,,,,
,개허탈,,https://jjalbang.today/files/jjalbox/2015/04/20150403_551e654b5268b.jpg,,,,,,,,
멱살,,,https://jjalbang.today/files/jjalbox/2015/03/90_55169e9b84d69_2525.jpg,,,,,,,,
"멘붕,좌절,짜증",답답,,https://jjalbang.today/files/jjalbox/2015/03/92_55169b46a1a76_2833.jpg,,,,,,,,
"지랄,염병",,분노,https://jjalbang.today/files/jjalbox/2015/03/90_55169c2a5dfe2_2668.jpg,,,,,,,,
"미안,죄송",,,https://jjalbang.today/files/jjalbox/2015/03/106_5516a367c86bf_2545.jpg,,,,,,,,
"미안,죄송",,,https://jjalbang.today/files/jjalbox/2015/03/106_5516a36664886_2547.jpg,,,,,,,,
"트럭,여고생,미안,죄송",,,https://jjalbang.today/files/jjalbox/2020/09/20200929_5f72e1790cde4.jpg,,,,,,,,
"입,입술,닥쳐",,,https://jjalbang.today/files/jjalbox/2016/08/20160812_57adc3d7550b9.jpg,,,,,,,,
"젖소,졋소",,,https://jjalbang.today/files/jjalbox/2016/08/20160822_57ba60f9c5d45.jpg,,,,,,,,
"좌절,포기",지,,https://jjalbang.today/files/jjalbox/2016/08/20160820_57b8206bc370c.png,,,,,,,,
"피곤,이불,개피곤",쓰러지는,,https://jjalbang.today/files/jjalbox/2016/09/20160901_57c79d190e49d.gif,,,,,,,,
"소린지,소리,공부,시험,수업",모르,,https://jjalbang.today/files/jjalbox/2016/09/20160909_57d19692d7fd0.jpg,,,,,,,,
"칰칼코마니,한화,야구",어이없,,https://jjalbang.today/files/jjalbox/2016/09/20160918_57de126d2cab3.gif,,,,,,,,
"놀람,선글라스,안경","깜놀,깜짝",놀람,https://jjalbang.today/files/jjalbox/2017/12/20171213_5a30ea98c1d8f.gif,,,,,,,,
"투자,실패,비트코인,주식,절망,행복회로",터지,,https://jjalbang.today/files/jjalbox/2017/12/20171215_5a3357594c318.gif,,,,,,,,
"놀람,공포,무서움,깜놀",무섭,"공포,놀람",https://jjalbang.today/files/jjalbox/2018/01/20180101_5a49ca34d8046.jpg,,,,,,,,
"북한,김정은,박수,웃음,축하",,행복,https://jjalbang.today/files/jjalbox/2018/01/20180108_5a523f2a16a84.jpg,,,,,,,,
"희롱,엽기,여자","춤추,황당",,https://jjalbang.today/files/jjalbox/2018/01/20180118_5a600baeb78be.gif,,,,,,,,
"카카오,라이언,기쁨","신나,좋",행복,https://jjalbang.today/files/jjalbox/2018/09/20180920_5ba2fb04ccfca.gif,,,,,,,,
"코,코딱지,축구",,중립,https://jjalbang.today/files/jjalbox/2020/09/20200927_5f708aff4e2bf.gif,,,,,,,,
"개슬픔,안습,눈물,한자",개슬프,슬픔,https://jjalbang.today/files/jjalbox/2021/06/20210609_60c062500accd.jpg,,,,,,,,
"공부,다짐,결심",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9a85c04cb8.png,,,,,,,,
거절,,,https://bunny.jjalbot.com/2016/10/S1-MKPpUA/20150525_5562dc574999e.jpg,,,,,,,,
"로그아웃,인생",,,https://bunny.jjalbot.com/2018/12/Esh5vJqVJ/zzal.jpg,,,,,,,,
납득,,,https://bunny.jjalbot.com/2018/12/iIgwPxWLB/zzal.jpg,,,,,,,,
"설명,생략",,,https://jjalbot.com/jjals/SyMM_pLA,,,,,,,,
잘했어,,,https://bunny.jjalbot.com/2020/11/awr80EyLsF/R-kSMoliV.gif,,,,,,,,
,웃지마,,https://bunny.jjalbot.com/2018/12/P14uH-zbXE/zzal.png,,,,,,,,
개발자,,,https://bunny.jjalbot.com/2019/01/qSZ8Y8HNcl/R5djHzs9n.gif,,,,,,,,
자전거,넘어지,,https://bunny.jjalbot.com/2022/01/509k-O2Sp.jpeg,,,,,,,,
"얼죽아,폭설",,,https://bunny.jjalbot.com/2022/01/qJziOIiip.gif,,,,,,,,
공룡,,,https://bunny.jjalbot.com/2022/01/YGFSeIsl8.gif,,,,,,,,
"거리,조절,모니터",,분노,https://bunny.jjalbot.com/2022/01/n5dkr61G4.gif,,,,,,,,
반란,,,https://bunny.jjalbot.com/2022/01/ybXttS3gw.jpeg,,,,,,,,
"어쩔,안물",,,https://bunny.jjalbot.com/2022/01/G8YI83M2p.jpeg,,,,,,,,
인사,,,https://bunny.jjalbot.com/2022/01/FPaDJ13iC.jpeg,,,,,,,,
"사후,경직,소고기",,,https://bunny.jjalbot.com/2018/12/SyWNwTNMlV/20180828_5b84395d3d794.gif,,,,,,,,
"중국,옥수수",,,https://bunny.jjalbot.com/2018/12/cavGhccG7/zzal.gif,,,,,,,,
"쉴드,고양이",,,https://bunny.jjalbot.com/2021/07/4ztZ7NII8i/POv15_xk3.jpeg,,,,,,,,
"화장,립스틱",,,https://bunny.jjalbot.com/2018/12/EhEsgS3fO/zzal.gif,,,,,,,,
"일상생활,쇠고랑",잡,,https://bunny.jjalbot.com/2018/12/71uCEISuF/zzal.jpg,,,,,,,,
,마시,,https://bunny.jjalbot.com/2018/12/0QRj_Uoi5u/zzal.jpg,,,,,,,,
,못생기,,https://bunny.jjalbot.com/2018/12/PIhnBe0Ph/zzal.jpg,,,,,,,,
도망,도망치,,https://bunny.jjalbot.com/2021/12/aqQpTZWO1/aqQpTZWO1.jpeg,,,,,,,,
닥쳐,,분노,https://bunny.jjalbot.com/2016/10/SybmFwaUC/20150511_55504db6716b5.jpg,,,,,,,,
관심,,,https://bunny.jjalbot.com/2018/12/8GCHTPAsG/zzal.jpg,,,,,,,,
관심,,,https://jjalbot.com/jjals/VIpQ1mWfV,,,,,,,,
,제발,,https://jjalbot.com/jjals/n8NvAiMwkE,,,,,,,,
정답,그렇,,https://bunny.jjalbot.com/2018/12/_Qd8WBQL3K/zzal.jpg,,,,,,,,
"노답,답",,,https://bunny.jjalbot.com/2018/12/XlRwaC5bi/zzal.png,,,,,,,,
"정신,싸대기",때리,,https://bunny.jjalbot.com/2018/12/jmkfuCI6_/zzal.jpg,,,,,,,,
가즈아,,,https://bunny.jjalbot.com/2018/12/BkZc6T4MlE/20171215_5a335796512db.gif,,,,,,,,
"커피,에스프레소",,,https://bunny.jjalbot.com/2018/12/0MTaJMrqQq/zzal.gif,,,,,,,,
이교도,죽,,https://bunny.jjalbot.com/2016/10/B1b0HL68C/20160904_57cc0fe974fef.png,,,,,,,,
"돼지,다이어트",,,https://bunny.jjalbot.com/2021/12/LPFCMQP5N/LPFCMQP5N.jpeg,,,,,,,,
무념무상,,중립,https://bunny.jjalbot.com/2018/12/oDG1p5uLF/zzal.png,,,,,,,,
,"앗싸,신나",,https://bunny.jjalbot.com/2016/10/rJpe_aUC/87_55169b6e5b317_2808.jpg,,,,,,,,
커플,사귀,,https://bunny.jjalbot.com/2016/10/BJx-mYpI0/104_5516a411e436d_952.jpg,,,,,,,,
변태,,,https://bunny.jjalbot.com/2018/12/sz3DlbW5nN/zzal.jpg,,,,,,,,
호구,,,https://bunny.jjalbot.com/2018/12/gBKdndiHp/zzal.jpg,,,,,,,,
,한심,,https://bunny.jjalbot.com/2018/12/dHA0c05bJ/zzal.jpg,,,,,,,,
,짤줍,,https://bunny.jjalbot.com/2016/10/Ski4FTI0/102_5516a432c86ec_927.jpg,,,,,,,,
정답,,,https://bunny.jjalbot.com/2016/10/B1iqI6UA/20160820_57b8357a2b0fd.jpg,,,,,,,,
"오예,막춤",,,https://bunny.jjalbot.com/2016/10/H1GmuvaUR/20150607_55731a2d6a622.gif,,,,,,,,
야당,,,https://bunny.jjalbot.com/2018/12/BJOs1AEfe4/20170530_592d0fd971b82.jpg,,,,,,,,
"흑빛,그늘",,,https://bunny.jjalbot.com/2018/12/5z1iqE1K4/zzal.jpg,,,,,,,,
"독립,불매",,,https://bunny.jjalbot.com/2021/02/hVOBWTXFOp/eVAioc3Nm.jpeg,,,,,,,,
참회,잘못,,https://bunny.jjalbot.com/2016/10/B1bJLUpL0/20160910_57d3c082b40a4.jpg,,,,,,,,
"낚시,미끼,월척",,,https://bunny.jjalbot.com/2021/12/rJ5CR-V17/rJ5CR-V17.jpeg,,,,,,,,
권총,,,https://bunny.jjalbot.com/2016/10/SkW4w6UR/20151128_565985e125bc0.gif,,,,,,,,
,궁금,,https://bunny.jjalbot.com/2018/12/ZPzFnyK6B/zzal.png,,,,,,,,
"쿠마몬,곰인형",,,https://bunny.jjalbot.com/2020/07/Amk8Yaga2/zzal.jpg,,,,,,,,
장난감,깜놀,,https://bunny.jjalbot.com/2018/12/HkvzYTEMxN/20180117_5a5f41feab65d.gif,,,,,,,,
코딩,,,https://bunny.jjalbot.com/2020/03/OE_MOUoRdj/T8cRYfmj4.jpeg,,,,,,,,
,싸우,,https://bunny.jjalbot.com/2018/12/SkLVcpVzgN/20180109_5a5477b76d312.jpg,,,,,,,,
"독신,솔로",,,https://bunny.jjalbot.com/2021/12/9VKWd4u13/9VKWd4u13.jpeg,,,,,,,,
우울,"추욱,흑흑",,https://bunny.jjalbot.com/2018/12/XsOfNshbK/zzal.jpg,,,,,,,,"공포,놀람,분노,슬픔,중립,행복,혐오"
"게임,뉴비",,,https://bunny.jjalbot.com/2021/12/-yg4gh5Xw/-yg4gh5Xw.jpeg,,,,,,,,
어몽어스,,,https://bunny.jjalbot.com/2020/10/_TyE6OHKmr/Hapxw2-ot.jpeg,,,,,,,,
"경찰,포돌이,수갑",철컹,,https://bunny.jjalbot.com/2016/10/S1Qo5OTU0/99_55169fe8b4629_2015.jpg,,,,,,,,
"애기,아기",,,https://bunny.jjalbot.com/2018/12/10gh4rp1M/zzal.gif,,,,,,,,
"쿠마몬,곰인형",,,https://bunny.jjalbot.com/2018/12/BnQZN19KPA/zzal.jpg,,,,,,,,
놀림,,,https://bunny.jjalbot.com/2016/10/HJGmhIaUA/20160819_57b6cc680e68c.jpg,,,,,,,,
,"까먹,헐,깜빡",,https://bunny.jjalbot.com/2018/12/NoW97FPve/zzal.jpg,,,,,,,,
,"추욱,츄욱",,https://bunny.jjalbot.com/2016/10/SkGNJdaUR/92_55169b16c5756_2864.jpg,,,,,,,,
"슬픔,눈물",슬프,,https://bunny.jjalbot.com/2018/12/Y--IQ0Mg3/zzal.png,,,,,,,,
"지하철,면접",,,https://bunny.jjalbot.com/2021/12/ABLHOcLtF/ABLHOcLtF.jpeg,,,,,,,,
"연기,소독,벌레,퇴치,해충,박멸",,,https://bunny.jjalbot.com/2016/10/Syb9oO68R/91_55169ee2250ec_1737.jpg,,,,,,,,
대머리,,,https://bunny.jjalbot.com/2021/12/I50Z7aabr/I50Z7aabr.jpeg,,,,,,,,
