개체1,액션1,감정1,"URL(공포,놀람,분노,슬픔,중립,행복,혐오)",,,,,,,,
"무한도전,무도,정준하,주먹",,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d30c6644c7b.jpg,,,,,,,,
"강호,도리,",어이없,,https://jjalbang.today/files/jjalbox/2021/06/20210625_60d57fdde1573.jpg,,,,,,,,
성동일,"저요,손들",,https://jjalbang.today/files/jjalbox/2021/06/20210628_60d9a1a7864e0.jpg,,,,,,,,
공부,싫어,,https://bunny.jjalbot.com/2018/12/wLf4zuiAP/zzal.jpg,,,,,,,,
"분노,화남,김래원,해바라기","후련,가져가",,https://jjalbang.today/files/jjalbox/2021/06/20210615_60c852566ea37.jpg,,,,,,,,
"엑스,끝,축구","여기까지,그만",,https://jjalbang.today/files/jjalbox/2015/03/85_55169cb29da6b_1056.jpg,,,,,,,,
"입,무한도전,무도,유재석,정준하,","다물,닫",,https://jjalbang.today/files/jjalbox/2021/06/20210620_60cf607221292.jpg,,,,,,,,
"박명수,무도,무한도전,","좋아하,척하",,https://jjalbang.today/files/jjalbox/2021/06/20210620_60cf614770b2c.jpg,,,,,,,,
"눈동자,건배,술잔,술",,,https://jjalbang.today/files/jjalbox/2021/06/20210621_60d036f9096d9.jpeg,,,,,,,,
"박진영,jyp,건배,술잔,술,남친짤",,,https://jjalbang.today/files/jjalbox/2021/06/20210621_60d038180de55.jpg,,,,,,,,
"처음,광경,","깜놀,보,신기,황당",놀람,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d29fe6071ce.jpg,,,,,,,,
"원숭이,담배,흡연",펴,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2a2eee5147.jpg,,,,,,,,
"놀람,감동,원숭이","입틀막,말잇못",중립,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2a225a9c30.jpg,,,,,,,,
"무한도전,무도,유재석,?,물음표,의문","놀라,뭐야",,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2eec410f33.jpg,,,,,,,,
"안선생님,슬램덩크,성장",않았,,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2f0ee6cbb0.jpg,,,,,,,,
"강아지,개","기다려,안절부절",,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2f2c8010ec.gif,,,,,,,,
"기안84,기안,분노,양치,양치질,나혼자산다,나혼산,샤워",벅벅,,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4ce30a9b5b.gif,,,,,,,,
"마동석,오레오,까불지마","못죽일,죽고싶",분노,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4b836d5715.jpg,,,,,,,,
"마동석,관속,매장","죽고싶,뒤지",분노,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4b74ee7208.jpg,,,,,,,,
"나혼자산다,나혼산,장도연,피곤,짜증",,,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4d7d0c5a0a.jpg,,,,,,,,
강호동,웃,,https://jjalbang.today/files/jjalbox/2021/06/20210612_60c4de716f162.jpg,,,,,,,,
"퇴사,사퇴,회사,강동원,사직서","해보,그만두",,https://jjalbang.today/files/jjalbox/2021/06/20210615_60c840e28112c.jpg,,,,,,,,
"도라에몽,노력,부족,공부,시험",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9aa7a1bc31.jpg,,,,,,,,
"월요일,주말,일요일,일요,병,월요병,출근,직장인,순삭",,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9b637f01a0.jpg,,,,,,,,
"야근,무한상사,회사,퇴근,유재석,무한도전,무도",못,,https://jjalbang.today/files/jjalbox/2021/06/20210616_60c9b6a35c8d2.png,,,,,,,,
"입틀막,깜놀,충격,조보아,골목식당",깜짝,놀람,https://jjalbang.today/files/jjalbox/2021/06/20210623_60d2d9afd76d8.gif,,,,,,,,
"심쿵,심장,충격,강제심쿵,하트,토끼",두근,,https://jjalbang.today/files/jjalbox/2015/03/89_55169a07ec28a_2934.png,,,,,,,,
만화,"깜,놀라","공포,놀람",https://jjalbang.today/files/jjalbox/2015/03/89_55169e3725c87_1575.jpg,,,,,,,,
이마,"탁,세상에,맙소사,어휴,에휴",,https://jjalbang.today/files/jjalbox/2021/07/20210708_60e67a0fd3770.gif,,,,,,,,
혐오,"한심,답답,싫",혐오,https://jjalbang.today/files/jjalbox/2021/07/20210723_60fa69b9b1543.gif,,,,,,,,
"흰둥이,강아지,개,인생",,,https://jjalbang.today/files/jjalbox/2021/09/20210916_6143768c4171b.jpg,,,,,,,,
,"왜저래,왜저랩,뭐래,뭐냐",,https://jjalbang.today/files/jjalbox/2021/06/20210610_60c1cf3ad1baa.jpg,,,,,,,,
"좌절,소녀","시무룩,힘빠지",슬픔,https://jjalbang.today/files/jjalbox/2015/03/92_55169b1ad942f_2861.gif,,,,,,,,
"심영,야인시대,고자,고자라니",,슬픔,https://jjalbang.today/files/jjalbox/2015/03/92_55169efbbd1a6_2659.gif,,,,,,,,
"덜덜,ㄷㄷ,ㄷㄷㄷ,귀귀",무섭,공포,https://jjalbang.today/files/jjalbox/2018/09/20180912_5b98b22d350f7.gif,,,,,,,,
